"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"968787909162582016","https://twitter.com/MapPornTweet/status/968787909162582016","Campo Vaccino, Italy (1775) #MapPorn #Italy
https://t.co/issrGJLjjQ https://t.co/rQ06Ir4p8k","2018-02-28 10:00 +0000","1719.0","50.0","0.029086678301337987","1.0","0.0","1.0","2.0","7.0","1.0","0.0","0.0","0","0","0","0","0","38","38","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"968138298148274178","https://twitter.com/MapPornTweet/status/968138298148274178","The German Empires Economy in 1913 - Mining, Industry, Agriculture and Trade  #MapPorn
https://t.co/McQDWq7H5L https://t.co/ZxAyx8VeFX","2018-02-26 14:58 +0000","1873.0","110.0","0.05872931126534971","1.0","0.0","7.0","0.0","31.0","0.0","1.0","0.0","0","0","0","0","0","70","70","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"968134566580969477","https://twitter.com/MapPornTweet/status/968134566580969477","Ethnic/Tribal Groups of Mongolia  #MapPorn #Mongolia
https://t.co/nnlepDlCPl https://t.co/AGImMoNVa3","2018-02-26 14:44 +0000","3943.0","281.0","0.07126553385746894","6.0","0.0","11.0","23.0","60.0","4.0","8.0","0.0","0","0","0","0","0","169","169","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"968133030811394055","https://twitter.com/MapPornTweet/status/968133030811394055","Territory in the Pacific Ocean  #MapPorn
https://t.co/bqQb8c5ZLt https://t.co/1kT56NU3ei","2018-02-26 14:37 +0000","6578.0","358.0","0.05442383703253269","11.0","0.0","19.0","5.0","66.0","4.0","18.0","0.0","0","0","0","0","0","235","235","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"968078214768738305","https://twitter.com/MapPornTweet/status/968078214768738305","How to say European countries name in Chinese/Korean/Japanese (xpost from /r/LinguaPorn)  #MapPorn
https://t.co/NcA5WKnKVT https://t.co/NmYFVm8v9W","2018-02-26 11:00 +0000","9528.0","470.0","0.04932829554995802","15.0","1.0","26.0","6.0","71.0","1.0","33.0","0.0","0","0","0","0","0","317","317","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"967338362976706562","https://twitter.com/MapPornTweet/status/967338362976706562","London, United kingdom, London bridge in 1682 #MapPorn #London
https://t.co/itOofa7qtF https://t.co/Q2TcGuIdOv","2018-02-24 10:00 +0000","3400.0","185.0","0.054411764705882354","6.0","0.0","17.0","12.0","22.0","2.0","9.0","0.0","0","0","0","0","0","117","117","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"967066548039860226","https://twitter.com/MapPornTweet/status/967066548039860226","Top post of the week:

Culinary map of Europe according to France  #MapPorn #Europe #France
https://t.co/Uvb89OOrqO https://t.co/7CMVBLFtpa","2018-02-23 16:00 +0000","4908.0","549.0","0.11185819070904646","10.0","1.0","25.0","13.0","73.0","4.0","35.0","0.0","0","0","0","0","0","388","388","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"966628663759286272","https://twitter.com/MapPornTweet/status/966628663759286272","Countries ranked by Tweets mentioning ""I love you"" in over 100 different languages  #MapPorn
https://t.co/Z2J8VmTB0L https://t.co/XA6lUNpWp1","2018-02-22 11:00 +0000","1844.0","111.0","0.06019522776572668","2.0","0.0","4.0","2.0","21.0","1.0","8.0","0.0","0","0","0","0","0","73","73","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"966613585467031553","https://twitter.com/MapPornTweet/status/966613585467031553","1600s Map of Scandinavia #MapPorn
https://t.co/NfB1HHl6NZ https://t.co/lSrGOXM1n1","2018-02-22 10:00 +0000","2523.0","126.0","0.04994054696789536","3.0","0.0","12.0","2.0","27.0","0.0","3.0","0.0","0","0","0","0","0","79","79","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"966251188806041600","https://twitter.com/MapPornTweet/status/966251188806041600","A detailed engraving of Saigon in 1881, a few years before it became the capital of French Indochina, mode
https://t.co/jMr0TgmTf6 https://t.co/h9JmQRuhzx","2018-02-21 10:00 +0000","2364.0","105.0","0.044416243654822336","2.0","0.0","4.0","1.0","11.0","0.0","2.0","0.0","0","0","0","0","0","85","85","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
